player,row,col,board,result,elapsed_time,step
O,2,2,"[[None, None, None], [None, None, None], [None, None, 'O']]",,0.001875,0
X,0,0,"[['X', None, None], [None, None, None], [None, None, 'O']]",,2.893715,1
O,1,2,"[['X', None, None], [None, None, 'O'], [None, None, 'O']]",,2.894313,2
X,1,0,"[['X', None, None], ['X', None, 'O'], [None, None, 'O']]",,6.964939,3
O,1,1,"[['X', None, None], ['X', 'O', 'O'], [None, None, 'O']]",,6.965511,4
X,2,0,"[['X', None, None], ['X', 'O', 'O'], ['X', None, 'O']]",X,9.667946,5
O,2,1,"[[None, None, None], [None, None, None], [None, 'O', None]]",,0.000513,0
X,1,0,"[[None, None, None], ['X', None, None], [None, 'O', None]]",,3.440651,1
O,2,2,"[[None, None, None], ['X', None, None], [None, 'O', 'O']]",,3.441422,2
X,2,0,"[[None, None, None], ['X', None, None], ['X', 'O', 'O']]",,7.44029,3
O,1,1,"[[None, None, None], ['X', 'O', None], ['X', 'O', 'O']]",,7.440854,4
X,0,0,"[['X', None, None], ['X', 'O', None], ['X', 'O', 'O']]",X,12.695281,5
O,0,2,"[[None, None, 'O'], [None, None, None], [None, None, None]]",,0.000505,0
X,1,1,"[[None, None, 'O'], [None, 'X', None], [None, None, None]]",,1.432586,1
O,2,1,"[[None, None, 'O'], [None, 'X', None], [None, 'O', None]]",,1.433354,2
X,2,2,"[[None, None, 'O'], [None, 'X', None], [None, 'O', 'X']]",,7.991947,3
O,0,1,"[[None, 'O', 'O'], [None, 'X', None], [None, 'O', 'X']]",,7.992487,4
X,2,0,"[[None, 'O', 'O'], [None, 'X', None], ['X', 'O', 'X']]",,10.776228,5
O,1,0,"[[None, 'O', 'O'], ['O', 'X', None], ['X', 'O', 'X']]",,10.776809,6
X,1,2,"[[None, 'O', 'O'], ['O', 'X', 'X'], ['X', 'O', 'X']]",,14.05553,7
O,0,0,"[['O', 'O', 'O'], ['O', 'X', 'X'], ['X', 'O', 'X']]",O,14.056145,8
O,2,1,"[[None, None, None], [None, None, None], [None, 'O', None]]",,0.000504,0
X,0,0,"[['X', None, None], [None, None, None], [None, 'O', None]]",,2.063964,1
O,1,2,"[['X', None, None], [None, None, 'O'], [None, 'O', None]]",,2.064473,2
X,1,0,"[['X', None, None], ['X', None, 'O'], [None, 'O', None]]",,4.304126,3
O,2,2,"[['X', None, None], ['X', None, 'O'], [None, 'O', 'O']]",,4.304646,4
X,2,0,"[['X', None, None], ['X', None, 'O'], ['X', 'O', 'O']]",X,6.657786,5
O,0,1,"[[None, 'O', None], [None, None, None], [None, None, None]]",,0.000773,0
X,1,0,"[[None, 'O', None], ['X', None, None], [None, None, None]]",,2.224752,1
O,2,2,"[[None, 'O', None], ['X', None, None], [None, None, 'O']]",,2.225707,2
X,2,0,"[[None, 'O', None], ['X', None, None], ['X', None, 'O']]",,4.247728,3
O,2,1,"[[None, 'O', None], ['X', None, None], ['X', 'O', 'O']]",,4.248396,4
X,1,2,"[[None, 'O', None], ['X', None, 'X'], ['X', 'O', 'O']]",,8.991742,5
O,1,1,"[[None, 'O', None], ['X', 'O', 'X'], ['X', 'O', 'O']]",O,8.992293,6
O,1,0,"[[None, None, None], ['O', None, None], [None, None, None]]",,0.000512,0
X,0,0,"[['X', None, None], ['O', None, None], [None, None, None]]",,2.142821,1
O,2,1,"[['X', None, None], ['O', None, None], [None, 'O', None]]",,2.14367,2
X,2,0,"[['X', None, None], ['O', None, None], ['X', 'O', None]]",,4.150357,3
O,1,2,"[['X', None, None], ['O', None, 'O'], ['X', 'O', None]]",,4.150901,4
X,2,2,"[['X', None, None], ['O', None, 'O'], ['X', 'O', 'X']]",,9.176288,5
O,0,1,"[['X', 'O', None], ['O', None, 'O'], ['X', 'O', 'X']]",,9.176832,6
X,1,1,"[['X', 'O', None], ['O', 'X', 'O'], ['X', 'O', 'X']]",X,13.0248,7
